cct_id,cct_city,cct_date,cct_card_type,cct_exp_type,cct_gender,cct_amount
90,"Bengaluru, India",05-Jan-14,Gold,Bills,F,327947
91,"Bengaluru, India",07-Apr-14,Gold,Bills,F,492986
92,"Delhi, India",20-Feb-15,Signature,Bills,F,369237
93,"Bengaluru, India",19-Jan-15,Platinum,Bills,F,983839
94,"Ahmedabad, India",14-Nov-14,Gold,Bills,F,776716
95,"Greater Mumbai, India",21-Jul-14,Gold,Bills,F,664632
96,"Bengaluru, India",03-Feb-15,Gold,Bills,F,466727
97,"Bengaluru, India",01-Nov-13,Gold,Bills,F,896384
98,"Delhi, India",07-Dec-13,Signature,Bills,F,712001
99,"Greater Mumbai, India",05-Aug-14,Silver,Bills,F,246865
100,"Greater Mumbai, India",08-Jan-15,Signature,Bills,F,858729
101,"Delhi, India",11-Apr-15,Platinum,Bills,F,581882
102,"Greater Mumbai, India",15-Feb-15,Signature,Bills,F,646426
103,"Bengaluru, India",24-Mar-15,Silver,Bills,F,687088
104,"Bengaluru, India",13-Oct-13,Signature,Bills,F,973026
105,"Greater Mumbai, India",24-Apr-15,Silver,Bills,F,944398
106,"Ahmedabad, India",09-Nov-14,Platinum,Bills,F,414422
107,"Bengaluru, India",04-Feb-15,Signature,Bills,F,408503
108,"Bengaluru, India",06-Mar-14,Signature,Bills,F,984466
109,"Greater Mumbai, India",27-Mar-14,Gold,Bills,F,919997
110,"Greater Mumbai, India",13-Nov-13,Signature,Bills,F,535101
111,"Greater Mumbai, India",22-Oct-13,Signature,Bills,F,978301
112,"Greater Mumbai, India",27-Sep-14,Gold,Bills,F,880406
113,"Ahmedabad, India",14-Nov-14,Silver,Bills,F,447241
114,"Bengaluru, India",21-Oct-13,Platinum,Bills,F,382191
115,"Bengaluru, India",15-May-15,Silver,Bills,F,775859
116,"Bengaluru, India",21-Mar-14,Platinum,Bills,F,832637
117,"Bengaluru, India",03-Apr-15,Platinum,Bills,F,458526
118,"Ahmedabad, India",06-Apr-15,Signature,Bills,F,440995
119,"Ahmedabad, India",05-Nov-13,Platinum,Bills,F,490128
120,"Delhi, India",07-Oct-13,Platinum,Bills,F,897079
121,"Delhi, India",31-Oct-14,Gold,Bills,F,431948
122,"Bengaluru, India",03-Apr-14,Silver,Bills,F,228072
123,"Delhi, India",21-Nov-13,Gold,Bills,F,757649
124,"Delhi, India",11-May-14,Signature,Bills,F,919877
125,"Greater Mumbai, India",23-May-14,Gold,Bills,F,605615
126,"Bengaluru, India",22-May-15,Platinum,Bills,F,500852
127,"Greater Mumbai, India",15-Feb-15,Signature,Bills,F,488136
128,"Delhi, India",16-Jun-14,Gold,Bills,F,937828
129,"Delhi, India",27-Jan-14,Gold,Bills,F,315873
130,"Greater Mumbai, India",20-May-15,Silver,Bills,F,567623
131,"Greater Mumbai, India",29-Oct-13,Platinum,Bills,F,555123
132,"Bengaluru, India",20-Apr-14,Gold,Bills,F,498843
133,"Greater Mumbai, India",23-May-14,Silver,Bills,F,752610
134,"Greater Mumbai, India",11-Mar-15,Platinum,Bills,F,494540
135,"Delhi, India",27-Oct-13,Gold,Bills,F,996754
136,"Ahmedabad, India",14-Jul-14,Signature,Bills,F,245572
137,"Delhi, India",18-Apr-14,Gold,Bills,F,974384
138,"Ahmedabad, India",25-Mar-14,Silver,Bills,F,846635
139,"Ahmedabad, India",01-Sep-14,Silver,Bills,F,635473
140,"Delhi, India",23-Mar-15,Gold,Bills,F,224510
141,"Delhi, India",24-Jan-15,Silver,Bills,F,478671
142,"Greater Mumbai, India",04-Oct-13,Gold,Bills,F,990700
143,"Delhi, India",14-Mar-14,Gold,Bills,F,228565
144,"Bengaluru, India",03-Jan-14,Silver,Bills,F,297732
145,"Greater Mumbai, India",03-Dec-14,Signature,Bills,F,559262
146,"Bengaluru, India",01-Jul-14,Signature,Bills,F,809907
147,"Ahmedabad, India",21-Aug-14,Signature,Bills,F,428316
148,"Ahmedabad, India",05-Mar-14,Signature,Bills,F,275065
149,"Bengaluru, India",20-Apr-14,Silver,Bills,F,845653
150,"Ahmedabad, India",20-Nov-13,Signature,Bills,F,236296
151,"Bengaluru, India",25-Sep-14,Signature,Bills,F,440572
152,"Ahmedabad, India",06-Feb-15,Gold,Bills,F,478115
153,"Bengaluru, India",26-Oct-13,Gold,Bills,F,897621
154,"Greater Mumbai, India",06-May-15,Signature,Bills,F,554281
155,"Delhi, India",30-Sep-14,Silver,Bills,F,245452
156,"Delhi, India",17-Jan-14,Platinum,Bills,F,365045
157,"Greater Mumbai, India",11-Jan-15,Gold,Bills,F,496047
158,"Bengaluru, India",11-Feb-15,Silver,Bills,F,466814
159,"Bengaluru, India",10-Nov-14,Gold,Bills,F,835177
160,"Delhi, India",12-Jan-15,Silver,Bills,F,219698
161,"Bengaluru, India",18-Oct-14,Silver,Bills,F,784541
162,"Delhi, India",25-Oct-13,Signature,Bills,F,576994
163,"Bengaluru, India",15-May-15,Gold,Bills,F,464663
164,"Bengaluru, India",03-May-14,Platinum,Bills,F,380270
165,"Ahmedabad, India",02-Oct-14,Silver,Bills,F,772082
166,"Delhi, India",09-Apr-15,Gold,Bills,F,230853
167,"Bengaluru, India",06-Oct-13,Signature,Bills,F,677654
168,"Greater Mumbai, India",05-Feb-14,Signature,Bills,F,929247
169,"Ahmedabad, India",09-Apr-15,Platinum,Bills,F,851374
170,"Ahmedabad, India",19-Jan-14,Platinum,Bills,F,637600
171,"Greater Mumbai, India",09-Nov-13,Platinum,Bills,F,681749
172,"Delhi, India",25-Mar-14,Silver,Bills,F,847958
173,"Greater Mumbai, India",18-Feb-14,Gold,Bills,F,877569
174,"Ahmedabad, India",14-Oct-13,Platinum,Bills,F,450413
175,"Bengaluru, India",01-May-15,Signature,Bills,F,219041
176,"Bengaluru, India",31-Dec-14,Gold,Bills,F,866572
177,"Greater Mumbai, India",26-Mar-14,Signature,Bills,F,570791
178,"Ahmedabad, India",28-Apr-14,Silver,Bills,F,705464
179,"Greater Mumbai, India",06-Apr-14,Signature,Bills,F,806821
180,"Greater Mumbai, India",27-Mar-14,Platinum,Bills,F,515472
181,"Ahmedabad, India",23-Sep-14,Silver,Bills,F,352207
182,"Ahmedabad, India",04-Mar-15,Gold,Bills,F,342761
183,"Bengaluru, India",27-Feb-14,Signature,Bills,F,249099
184,"Ahmedabad, India",27-Aug-14,Platinum,Bills,F,995634
185,"Bengaluru, India",12-Dec-14,Signature,Bills,F,435097
186,"Ahmedabad, India",16-Jun-14,Platinum,Bills,F,797815
187,"Delhi, India",02-Jan-14,Gold,Bills,F,326922
188,"Bengaluru, India",11-Dec-14,Gold,Bills,F,396241
189,"Delhi, India",14-Dec-14,Gold,Bills,F,486949
190,"Greater Mumbai, India",17-Jan-14,Gold,Bills,F,333483
191,"Ahmedabad, India",05-Oct-13,Platinum,Bills,F,612572
192,"Bengaluru, India",18-Mar-15,Silver,Bills,F,327244
193,"Ahmedabad, India",04-Feb-14,Silver,Bills,F,955468
194,"Greater Mumbai, India",25-Feb-15,Gold,Bills,F,927864
195,"Delhi, India",28-Mar-14,Signature,Bills,F,555220
196,"Delhi, India",28-Dec-14,Silver,Bills,F,952640
197,"Ahmedabad, India",31-May-14,Silver,Bills,F,695749
198,"Greater Mumbai, India",22-Aug-14,Platinum,Bills,F,365724
199,"Greater Mumbai, India",03-Mar-15,Platinum,Bills,F,738108
200,"Ahmedabad, India",17-Jan-15,Platinum,Bills,F,650785
201,"Delhi, India",23-Oct-14,Signature,Bills,F,611486
202,"Bengaluru, India",05-Aug-14,Platinum,Bills,F,965721
203,"Ahmedabad, India",12-Oct-14,Gold,Bills,F,413052
204,"Ahmedabad, India",22-Jan-14,Silver,Bills,F,584822
205,"Ahmedabad, India",25-Mar-15,Gold,Bills,F,980146
206,"Ahmedabad, India",10-Oct-14,Signature,Bills,F,926072
207,"Delhi, India",16-Apr-14,Silver,Bills,F,482394
208,"Bengaluru, India",21-Feb-14,Signature,Bills,F,718346
209,"Bengaluru, India",24-Apr-14,Silver,Bills,F,491598
210,"Delhi, India",07-Sep-14,Platinum,Bills,F,848852
211,"Bengaluru, India",28-Dec-14,Gold,Bills,F,396139
212,"Ahmedabad, India",13-Oct-14,Signature,Bills,F,856974
213,"Ahmedabad, India",03-Apr-15,Signature,Bills,F,855990
214,"Delhi, India",16-Feb-15,Signature,Bills,F,924776
215,"Greater Mumbai, India",03-Apr-14,Signature,Bills,F,204850
216,"Delhi, India",03-Nov-13,Platinum,Bills,F,780669
217,"Greater Mumbai, India",17-Apr-14,Signature,Bills,F,887442
218,"Delhi, India",22-Jan-14,Signature,Bills,F,297820
219,"Delhi, India",14-Mar-15,Signature,Bills,F,687879
220,"Greater Mumbai, India",13-Oct-13,Silver,Bills,F,738456
221,"Delhi, India",24-Aug-14,Platinum,Bills,F,378535
222,"Greater Mumbai, India",09-May-15,Silver,Bills,F,334116
223,"Delhi, India",07-Jun-14,Silver,Bills,F,772360
224,"Ahmedabad, India",26-Nov-14,Gold,Bills,F,580796
225,"Greater Mumbai, India",21-Oct-14,Silver,Bills,F,855465
226,"Greater Mumbai, India",15-Jun-14,Gold,Bills,F,978989
227,"Ahmedabad, India",25-Apr-15,Gold,Bills,F,451874
228,"Ahmedabad, India",07-Sep-14,Silver,Bills,F,670750
229,"Bengaluru, India",19-May-15,Signature,Bills,F,977951
230,"Delhi, India",23-Feb-14,Platinum,Bills,F,403466
231,"Delhi, India",28-Oct-13,Signature,Bills,F,861177
232,"Ahmedabad, India",17-Dec-14,Gold,Bills,F,528612
233,"Ahmedabad, India",04-Dec-14,Signature,Bills,F,339670
234,"Delhi, India",18-Nov-13,Signature,Bills,F,963751
235,"Ahmedabad, India",30-Nov-14,Gold,Bills,F,761930
236,"Ahmedabad, India",21-Aug-14,Signature,Bills,F,852806
237,"Delhi, India",25-May-14,Signature,Bills,F,207755
238,"Greater Mumbai, India",19-Apr-15,Gold,Bills,F,489540
239,"Ahmedabad, India",25-Mar-14,Silver,Bills,F,274395
240,"Bengaluru, India",11-Feb-14,Platinum,Bills,F,566945
241,"Ahmedabad, India",09-Dec-14,Gold,Bills,F,705690
242,"Bengaluru, India",25-Mar-14,Gold,Bills,F,894888
243,"Greater Mumbai, India",02-Jan-14,Platinum,Bills,F,811899
244,"Greater Mumbai, India",25-Dec-14,Silver,Bills,F,677645
245,"Greater Mumbai, India",16-Oct-14,Platinum,Bills,F,326162
246,"Delhi, India",19-Apr-15,Platinum,Bills,F,316946
247,"Delhi, India",20-Jan-14,Platinum,Bills,F,622373
248,"Bengaluru, India",10-May-14,Signature,Bills,F,640653
249,"Ahmedabad, India",09-Jan-15,Signature,Bills,F,745493
250,"Delhi, India",31-Oct-13,Gold,Bills,F,868021
251,"Delhi, India",28-Nov-14,Platinum,Bills,F,284923
252,"Bengaluru, India",21-Jul-14,Platinum,Bills,F,814422
253,"Bengaluru, India",22-Apr-15,Gold,Bills,F,599741
254,"Ahmedabad, India",10-Jun-14,Platinum,Bills,F,804560
255,"Ahmedabad, India",17-Apr-15,Gold,Bills,F,996291
256,"Ahmedabad, India",09-Nov-13,Platinum,Bills,F,477553
257,"Delhi, India",02-Jan-15,Gold,Bills,F,216028
258,"Greater Mumbai, India",10-Mar-15,Signature,Bills,F,275427
259,"Delhi, India",22-Dec-13,Silver,Bills,F,722048
260,"Delhi, India",14-Feb-15,Silver,Bills,F,292365
261,"Ahmedabad, India",30-Jan-15,Silver,Bills,F,400393
262,"Greater Mumbai, India",01-Apr-14,Platinum,Bills,F,219720
263,"Delhi, India",15-Feb-15,Signature,Bills,F,981404
264,"Bengaluru, India",24-Nov-14,Signature,Bills,F,639670
265,"Bengaluru, India",07-Aug-14,Gold,Bills,F,814333
266,"Ahmedabad, India",17-Oct-13,Gold,Bills,F,569582
267,"Ahmedabad, India",25-May-14,Gold,Bills,F,954111
268,"Ahmedabad, India",16-May-14,Gold,Bills,F,635267
269,"Delhi, India",11-Oct-13,Gold,Bills,F,393651
270,"Ahmedabad, India",02-Jun-14,Platinum,Bills,F,572306
271,"Ahmedabad, India",06-Aug-14,Silver,Bills,F,407647
272,"Greater Mumbai, India",26-Jan-15,Gold,Bills,F,734396
273,"Delhi, India",02-Mar-15,Platinum,Bills,F,224414
274,"Ahmedabad, India",10-Sep-14,Signature,Bills,F,203194
275,"Greater Mumbai, India",22-Jan-15,Gold,Bills,F,250410
276,"Delhi, India",04-Apr-15,Silver,Bills,F,830697
277,"Greater Mumbai, India",16-May-14,Platinum,Bills,F,790800
278,"Greater Mumbai, India",22-Feb-14,Silver,Bills,F,638570
279,"Greater Mumbai, India",13-Aug-14,Silver,Bills,F,380409
280,"Greater Mumbai, India",01-Apr-14,Gold,Bills,F,601631
281,"Ahmedabad, India",08-Jan-14,Gold,Bills,F,690534
282,"Ahmedabad, India",05-Mar-15,Silver,Bills,F,423661
283,"Greater Mumbai, India",08-Dec-14,Silver,Bills,F,936294
284,"Bengaluru, India",29-Nov-14,Platinum,Bills,F,537050
285,"Delhi, India",08-Mar-15,Silver,Bills,F,899343
286,"Greater Mumbai, India",25-Nov-13,Platinum,Bills,F,834691
287,"Ahmedabad, India",13-Apr-15,Silver,Bills,F,240216
288,"Greater Mumbai, India",15-Apr-14,Signature,Bills,F,424370
289,"Delhi, India",13-Feb-15,Silver,Bills,F,593991
290,"Greater Mumbai, India",02-Oct-14,Signature,Bills,F,768467
291,"Delhi, India",07-Feb-15,Gold,Bills,F,781959
292,"Bengaluru, India",27-Dec-14,Platinum,Bills,F,553907
293,"Bengaluru, India",04-Aug-14,Platinum,Bills,F,308622
294,"Greater Mumbai, India",05-May-15,Signature,Bills,F,912334
295,"Delhi, India",28-Jan-15,Silver,Bills,F,586474
296,"Delhi, India",06-Apr-14,Gold,Bills,F,521237
297,"Delhi, India",30-Oct-13,Signature,Bills,F,446266
298,"Greater Mumbai, India",30-Sep-14,Platinum,Bills,F,511168
299,"Bengaluru, India",28-Dec-13,Signature,Bills,F,608438
300,"Delhi, India",18-Oct-14,Gold,Bills,F,973519
301,"Delhi, India",28-Nov-14,Platinum,Bills,F,688577
302,"Bengaluru, India",12-May-14,Silver,Bills,F,686619
303,"Greater Mumbai, India",06-Nov-14,Signature,Bills,F,255982
304,"Greater Mumbai, India",02-Mar-14,Signature,Bills,F,464656
305,"Delhi, India",19-Apr-15,Signature,Bills,F,212319
306,"Greater Mumbai, India",18-Apr-15,Platinum,Bills,F,307563
307,"Delhi, India",15-Apr-15,Silver,Bills,F,407564
308,"Bengaluru, India",12-Oct-14,Signature,Bills,F,331349
309,"Delhi, India",14-Apr-15,Silver,Bills,F,391325
310,"Ahmedabad, India",07-Oct-14,Silver,Bills,F,530244
311,"Greater Mumbai, India",16-Apr-14,Signature,Bills,F,668736
312,"Bengaluru, India",03-Dec-14,Gold,Bills,F,517448
313,"Ahmedabad, India",03-Aug-14,Platinum,Bills,F,788531
314,"Ahmedabad, India",17-Mar-14,Gold,Bills,F,474729
315,"Bengaluru, India",16-Jan-15,Platinum,Bills,F,590841
316,"Greater Mumbai, India",05-Jan-14,Platinum,Bills,F,608427
317,"Delhi, India",02-May-15,Silver,Bills,F,719835
318,"Delhi, India",30-Dec-13,Signature,Bills,F,375139
319,"Bengaluru, India",19-May-14,Platinum,Bills,F,229589
320,"Bengaluru, India",05-Jul-14,Signature,Bills,F,376453
321,"Delhi, India",10-Oct-13,Signature,Bills,F,360009
322,"Ahmedabad, India",03-Aug-14,Signature,Bills,F,770346
323,"Greater Mumbai, India",23-May-15,Signature,Bills,F,489043
324,"Bengaluru, India",11-Nov-14,Platinum,Bills,F,503037
325,"Greater Mumbai, India",11-Jan-14,Platinum,Bills,F,731261
326,"Ahmedabad, India",14-Feb-14,Signature,Bills,F,262755
327,"Greater Mumbai, India",16-Jul-14,Gold,Bills,F,825475
328,"Greater Mumbai, India",24-Feb-14,Platinum,Bills,F,922630
329,"Delhi, India",25-Sep-14,Gold,Bills,F,752172
330,"Ahmedabad, India",11-Jun-14,Gold,Bills,F,418009
331,"Delhi, India",07-Jun-14,Signature,Bills,F,994537
332,"Greater Mumbai, India",02-Aug-14,Silver,Bills,F,922206
333,"Greater Mumbai, India",21-May-14,Signature,Bills,F,389097
334,"Bengaluru, India",04-Apr-15,Signature,Bills,F,880778
335,"Greater Mumbai, India",03-Mar-15,Gold,Bills,F,327971
336,"Bengaluru, India",02-Mar-14,Signature,Bills,F,689201
337,"Bengaluru, India",17-May-15,Silver,Bills,F,792440
338,"Bengaluru, India",17-Mar-15,Signature,Bills,F,602222
339,"Ahmedabad, India",03-Sep-14,Platinum,Bills,F,502399
340,"Ahmedabad, India",17-Mar-14,Silver,Bills,F,272804
341,"Bengaluru, India",06-Jun-14,Platinum,Bills,F,613280
342,"Delhi, India",17-Oct-14,Signature,Bills,F,876491
343,"Bengaluru, India",25-Feb-14,Silver,Bills,F,820217
344,"Greater Mumbai, India",06-Sep-14,Signature,Bills,F,994184
345,"Ahmedabad, India",07-Dec-13,Platinum,Bills,F,515263
346,"Ahmedabad, India",28-Aug-14,Signature,Bills,F,338527
347,"Ahmedabad, India",16-Jun-14,Silver,Bills,F,934683
348,"Ahmedabad, India",07-Jul-14,Signature,Bills,F,454570
349,"Greater Mumbai, India",28-Jan-15,Gold,Bills,F,654519
350,"Ahmedabad, India",12-Jun-14,Gold,Bills,F,958047
351,"Bengaluru, India",03-Nov-13,Silver,Bills,F,465281
352,"Ahmedabad, India",31-Dec-13,Signature,Bills,F,653161
353,"Ahmedabad, India",14-Apr-14,Gold,Bills,F,307350
354,"Greater Mumbai, India",27-Aug-14,Silver,Bills,F,41002
355,"Bengaluru, India",03-Jan-14,Silver,Bills,F,34743
356,"Bengaluru, India",26-Sep-14,Signature,Bills,F,195589
357,"Bengaluru, India",10-Mar-14,Signature,Bills,F,204735
358,"Ahmedabad, India",14-May-14,Signature,Bills,F,118112
359,"Greater Mumbai, India",12-Dec-13,Platinum,Bills,F,61572
360,"Delhi, India",25-Feb-15,Gold,Bills,F,274938
361,"Greater Mumbai, India",21-Feb-14,Signature,Bills,F,43854
362,"Delhi, India",27-Apr-14,Gold,Bills,F,8798
363,"Greater Mumbai, India",08-May-15,Gold,Bills,F,192241
364,"Bengaluru, India",10-Apr-14,Silver,Bills,F,128164
365,"Delhi, India",28-Apr-14,Signature,Bills,F,249061
366,"Greater Mumbai, India",29-Jan-14,Gold,Bills,F,275283
367,"Greater Mumbai, India",03-Jan-14,Platinum,Bills,F,172194
368,"Ahmedabad, India",13-May-15,Gold,Bills,F,13162
369,"Bengaluru, India",05-Feb-15,Platinum,Bills,F,3427
370,"Bengaluru, India",07-Jan-15,Gold,Bills,F,171374
371,"Delhi, India",19-Feb-15,Signature,Bills,F,286251
372,"Ahmedabad, India",19-Oct-14,Platinum,Bills,F,123417
373,"Delhi, India",03-Dec-13,Silver,Bills,F,81088
374,"Ahmedabad, India",26-Oct-14,Signature,Bills,F,64113
375,"Bengaluru, India",27-Mar-14,Platinum,Bills,F,54374
376,"Ahmedabad, India",18-Mar-15,Signature,Bills,F,175515
377,"Delhi, India",25-Nov-13,Gold,Bills,F,78773
378,"Bengaluru, India",25-Jun-14,Signature,Bills,F,143515
379,"Delhi, India",22-Nov-14,Silver,Bills,F,263613
380,"Greater Mumbai, India",22-Apr-15,Platinum,Bills,F,265434
381,"Delhi, India",03-Jun-14,Signature,Bills,F,87839
382,"Delhi, India",16-Jun-14,Signature,Bills,F,60905
383,"Delhi, India",09-Apr-15,Platinum,Bills,F,199726
384,"Delhi, India",20-Jan-15,Silver,Bills,F,267896
385,"Ahmedabad, India",31-Dec-13,Gold,Bills,F,198937
386,"Greater Mumbai, India",02-Oct-14,Gold,Bills,F,90745
387,"Greater Mumbai, India",24-Jul-14,Silver,Bills,F,86676
388,"Greater Mumbai, India",08-May-15,Platinum,Bills,F,163574
389,"Greater Mumbai, India",27-Apr-15,Signature,Bills,F,2138
390,"Bengaluru, India",11-Jun-14,Silver,Bills,F,253749
391,"Delhi, India",06-Jun-14,Platinum,Bills,F,60187
392,"Bengaluru, India",03-Mar-15,Platinum,Bills,F,15566
393,"Greater Mumbai, India",11-Jul-14,Signature,Bills,F,242144
394,"Delhi, India",17-Mar-14,Platinum,Bills,F,114049
395,"Bengaluru, India",17-Mar-14,Gold,Bills,F,100992
396,"Delhi, India",03-Mar-14,Silver,Bills,F,173017
397,"Greater Mumbai, India",07-Jun-14,Gold,Bills,F,279567
398,"Delhi, India",28-Dec-13,Signature,Bills,F,25016
399,"Delhi, India",11-Nov-13,Silver,Bills,F,157982
400,"Bengaluru, India",17-May-14,Signature,Bills,F,240387
401,"Delhi, India",31-Aug-14,Platinum,Bills,F,134030
402,"Bengaluru, India",26-Jan-15,Gold,Bills,F,108651
403,"Delhi, India",17-Jan-14,Gold,Bills,F,138617
404,"Bengaluru, India",27-Jan-14,Signature,Bills,F,98963
405,"Delhi, India",24-Dec-13,Silver,Bills,F,25486
406,"Delhi, India",03-Mar-15,Gold,Bills,F,231140
407,"Ahmedabad, India",22-Oct-13,Gold,Bills,F,20032
408,"Greater Mumbai, India",14-Jan-15,Gold,Bills,F,293938
409,"Delhi, India",11-Jan-14,Silver,Bills,F,88175
410,"Ahmedabad, India",07-Feb-15,Platinum,Bills,F,105297
411,"Delhi, India",08-Oct-13,Platinum,Bills,F,129169
412,"Greater Mumbai, India",14-Aug-14,Signature,Bills,F,172386
413,"Greater Mumbai, India",09-May-15,Platinum,Bills,F,46369
414,"Greater Mumbai, India",02-Apr-14,Silver,Bills,F,158636
415,"Delhi, India",26-Nov-14,Signature,Bills,F,87219
416,"Delhi, India",16-Nov-14,Gold,Bills,F,183445
417,"Bengaluru, India",27-Jun-14,Silver,Bills,F,147977
